Gene	s1_p16_neg_PBS	s2_p16_neg_PBS	s3_p16_neg_PBS	s4_p16_neg_PBS	s1_p16_pos_PBS	s2_p16_pos_PBS	s3_p16_pos_PBS	s4_p16_pos_PBS	s1_p16_neg_LPS	s2_p16_neg_LPS	s3_p16_neg_LPS	s4_p16_neg_LPS	s1_p16_pos_LPS	s2_p16_pos_LPS	s3_p16_pos_LPS	s4_p16_pos_LPS
Sgpl1	0	11	9	10	0	3	16	36	5	6	18	52	7	5	18	227
Sgpp1	1	5	13	39	1	12	13	47	7	20	16	61	28	39	16	242
Sgpp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sgsh	0	1	0	2	0	3	7	26	1	3	0	4	1	7	3	20
Sgsm1	0	0	0	2	0	1	0	2	0	0	0	0	0	3	1	0
Sgsm2	0	5	11	21	1	15	19	32	31	9	22	36	35	50	16	88
Sgsm3	0	1	4	4	0	2	3	12	1	1	0	12	3	8	3	32
Sgta	17	33	67	106	8	36	100	160	53	77	137	129	103	128	57	321
Sgtb	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0
Sh2b1	1	2	9	16	3	5	9	34	7	7	2	14	2	10	7	43
Sh2b2	1	0	0	4	0	0	7	3	0	0	2	11	1	2	1	17
Sh2b3	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1
Sh2d1a	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Sh2d1b1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	1
Sh2d1b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh2d2a	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2
Sh2d3c	0	2	1	2	0	4	2	36	1	0	4	3	4	6	3	15
Sh2d4a	0	1	0	0	0	1	0	4	2	1	0	0	1	10	0	3
Sh2d4b	0	1	1	2	0	0	3	6	1	1	1	3	1	1	0	11
Sh2d5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Sh2d6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sh2d7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Sh3bgr	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Sh3bgrl	0	0	6	2	0	2	2	1	3	0	5	11	4	0	4	2
Sh3bgrl2	0	0	0	0	0	0	0	3	0	0	0	3	0	1	0	4
Sh3bgrl3	8	51	107	396	6	49	131	359	65	203	218	496	169	175	120	1616
Sh3bp1	0	2	9	28	0	2	13	46	6	6	4	31	8	12	5	107
Sh3bp2	3	10	32	48	1	5	57	111	30	28	25	118	41	27	26	360
Sh3bp4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3bp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3bp5l	0	5	17	26	4	23	23	55	9	13	16	32	25	45	13	100
Sh3d19	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Sh3d21	0	1	0	2	0	1	0	3	0	0	0	0	0	1	3	0
Sh3gl1	0	1	6	10	0	2	2	8	1	2	11	5	5	7	0	30
Sh3gl2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Sh3gl3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3glb1	0	1	0	1	0	1	1	2	1	0	0	4	2	1	0	3
Sh3glb2	3	2	7	15	1	11	14	39	9	18	7	44	6	26	11	104
Sh3kbp1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Sh3pxd2a	0	2	1	7	0	12	3	21	1	1	1	0	2	4	1	12
Sh3pxd2b	0	9	23	54	4	5	24	41	10	16	24	65	13	25	17	219
Sh3rf1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Sh3rf2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3rf3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sh3tc1	1	14	40	93	0	11	67	131	35	41	49	106	23	32	30	313
Sh3tc2	0	0	0	0	0	1	4	8	0	0	0	0	0	0	0	1
Sh3yl1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Shank1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shank2	0	1	0	0	1	0	0	0	0	0	0	0	1	8	0	0
Shank3	1	0	0	5	3	4	3	19	1	0	1	0	1	4	4	6
Sharpin	0	2	3	11	2	4	4	14	2	8	3	22	6	11	1	72
Shb	0	5	13	17	1	6	20	34	4	12	10	33	11	43	7	83
Shbg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shc1	0	0	1	3	0	2	0	4	1	1	1	4	0	3	0	21
Shc2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Shc3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shc4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Shcbp1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Shcbp1l	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Shd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
